#,A,10,9,8,7,6,5,4,3,2
21,36.16%,11.14%,6.08%,6.94%,7.41%,9.72%,10.82%,11.12%,11.47%,11.80%
20,13.08%,34.22%,12.00%,6.94%,7.86%,10.17%,11.31%,11.65%,12.03%,12.40%
19,13.08%,11.14%,35.08%,12.86%,7.86%,10.63%,11.77%,12.14%,12.56%,12.97%
18,13.08%,11.14%,12.00%,35.93%,13.78%,10.63%,12.23%,12.59%,13.05%,13.49%
17,13.08%,11.14%,12.00%,12.86%,36.86%,16.54%,12.23%,13.05%,13.50%,13.98%
