#,A,10,9,8,7,6,5,4,3,2
BJ,69.23%,92.31%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
21,33.07%,81.17%,93.92%,93.06%,92.59%,90.28%,89.18%,88.88%,88.53%,88.20%
20,14.61%,43.50%,75.84%,79.18%,77.32%,70.40%,67.04%,66.10%,65.03%,64.00%
19,-11.55%,-1.87%,28.76%,59.39%,61.60%,49.60%,43.95%,42.32%,40.44%,38.63%
18,-37.71%,-24.15%,-18.32%,10.60%,39.96%,28.34%,19.96%,17.59%,14.83%,12.17%
17,-63.86%,-46.44%,-42.32%,-38.20%,-10.68%,1.17%,-4.49%,-8.06%,-11.72%,-15.30%
16,-76.94%,-57.58%,-54.31%,-51.05%,-47.54%,-15.37%,-16.72%,-21.11%,-25.23%,-29.28%
